Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2021,Moore,NC,Passenger,0,1,1,139,140,0.71
February 28 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
February 28 2021,Orange,CA,Passenger,4,3,7,445,452,1.55
February 28 2021,Philadelphia,PA,Passenger,1,0,1,57,58,1.72
February 28 2021,Pima,AZ,Passenger,2,1,3,312,315,0.95
February 28 2021,Polk,FL,Passenger,1,0,1,53,54,1.85
February 28 2021,Riverside,CA,Passenger,4,1,5,582,587,0.85
February 28 2021,Sacramento,CA,Passenger,2,0,2,236,238,0.84
February 28 2021,San Mateo,CA,Passenger,1,1,2,104,106,1.89
February 28 2021,Sarasota,FL,Passenger,2,0,2,26,28,7.14
January 31 2021,Denver,CO,Passenger,1,0,1,117,118,0.85
January 31 2021,District of Columbia,DC,Passenger,3,1,4,198,202,1.98
January 31 2021,Douglas,WA,Truck,0,0,0,12507,12507,0.00
January 31 2021,El Paso,TX,Passenger,3,0,3,392,395,0.76
January 31 2021,Fresno,CA,Passenger,1,0,1,172,173,0.58
January 31 2021,Goochland,VA,Passenger,4,3,7,233,240,2.92
January 31 2021,Grays Harbor,WA,Truck,0,0,0,21242,21242,0.00
January 31 2021,Greene,MO,Passenger,0,1,1,32,33,3.03
January 31 2021,Gwinnett,GA,Passenger,1,0,1,66,67,1.49
December 31 2020,Flathead,MT,Passenger,1,0,1,51,52,1.92
December 31 2020,Fort Bend,TX,Passenger,1,0,1,43,44,2.27
December 31 2020,Garfield,WA,Truck,0,0,0,995,995,0.00
December 31 2020,Goochland,VA,Passenger,4,3,7,238,245,2.86
December 31 2020,Greene,MO,Passenger,0,1,1,32,33,3.03
December 31 2020,Hamilton,IN,Passenger,2,0,2,35,37,5.41
December 31 2020,Harnett,NC,Passenger,1,0,1,189,190,0.53
December 31 2020,Harris,TX,Passenger,1,1,2,211,213,0.94
December 31 2020,Hawaii,HI,Passenger,1,0,1,53,54,1.85
December 31 2020,Honolulu,HI,Passenger,5,2,7,419,426,1.64
December 31 2020,Island,WA,Passenger,507,289,796,63007,63803,1.25
December 31 2020,Jefferson,WA,Truck,0,0,0,9587,9587,0.00
February 28 2021,Missoula,MT,Passenger,1,0,1,65,66,1.52
February 28 2021,Okaloosa,FL,Passenger,0,1,1,133,134,0.75
February 28 2021,Pacific,WA,Truck,0,0,0,7830,7830,0.00
February 28 2021,Palm Beach,FL,Passenger,0,1,1,68,69,1.45
January 31 2021,Howard,IN,Passenger,0,1,1,3,4,25.00
January 31 2021,Jefferson,WA,Passenger,290,166,456,24804,25260,1.81
January 31 2021,Kauai,HI,Passenger,1,0,1,14,15,6.67
January 31 2021,Kent,MI,Passenger,0,1,1,23,24,4.17
January 31 2021,Kitsap,WA,Truck,0,0,0,54302,54302,0.00
January 31 2021,Lewis,WA,Passenger,126,131,257,58906,59163,0.43
January 31 2021,Yakima,WA,Truck,0,0,0,61085,61085,0.00
February 28 2021,Allegheny,PA,Passenger,1,1,2,63,65,3.08
February 28 2021,Benton,WA,Truck,0,0,0,43383,43383,0.00
February 28 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
February 28 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
January 31 2021,Klickitat,WA,Truck,0,0,0,8117,8117,0.00
January 31 2021,Lake,FL,Passenger,1,0,1,22,23,4.35
January 31 2021,Leavenworth,KS,Passenger,0,1,1,125,126,0.79
January 31 2021,Middlesex,MA,Passenger,1,1,2,96,98,2.04
January 31 2021,Monroe,IL,Passenger,1,0,1,3,4,25.00
January 31 2021,Montgomery,OH,Passenger,0,1,1,53,54,1.85
January 31 2021,Moore,NC,Passenger,0,1,1,142,143,0.70
January 31 2021,Okaloosa,FL,Passenger,0,1,1,136,137,0.73
January 31 2021,Ferry,WA,Passenger,9,3,12,4341,4353,0.28
January 31 2021,Garfield,WA,Truck,0,0,0,1002,1002,0.00
January 31 2021,Houston,GA,Passenger,1,0,1,52,53,1.89
January 31 2021,King,WA,Passenger,27799,8325,36124,1367320,1403444,2.57
January 31 2021,Kings,NY,Passenger,1,0,1,62,63,1.59
January 31 2021,Kittitas,WA,Passenger,134,52,186,29837,30023,0.62
January 31 2021,Kittitas,WA,Truck,0,0,0,14673,14673,0.00
January 31 2021,Larimer,CO,Passenger,1,0,1,53,54,1.85
February 28 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
February 28 2021,Prince William,VA,Passenger,1,1,2,213,215,0.93
February 28 2021,Rockingham,NH,Passenger,1,0,1,24,25,4.00
February 28 2021,Rogers,OK,Passenger,1,0,1,5,6,16.67
February 28 2021,Suffolk,MA,Passenger,0,2,2,32,34,5.88
February 28 2021,Thurston,WA,Passenger,1383,811,2194,197249,199443,1.10
February 28 2021,Utah,UT,Passenger,0,1,1,124,125,0.80
February 28 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
February 28 2021,Snohomish,WA,Passenger,5271,1894,7165,538275,545440,1.31
February 28 2021,Spokane,WA,Passenger,923,560,1483,321465,322948,0.46
February 28 2021,St. Louis,MO,Passenger,1,0,1,91,92,1.09
February 28 2021,Ulster,NY,Passenger,1,0,1,7,8,12.50
January 31 2021,Missoula,MT,Passenger,1,0,1,64,65,1.54
January 31 2021,Nassau,FL,Passenger,1,0,1,34,35,2.86
January 31 2021,Norfolk,VA,Passenger,2,3,5,341,346,1.45
January 31 2021,Nueces,TX,Passenger,1,0,1,81,82,1.22
January 31 2021,Palm Beach,FL,Passenger,0,1,1,68,69,1.45
January 31 2021,Prince William,VA,Passenger,1,1,2,217,219,0.91
January 31 2021,Rockingham,NH,Passenger,1,0,1,24,25,4.00
February 28 2021,Shelby,OH,Passenger,0,1,1,1,2,50.00
February 28 2021,Stafford,VA,Passenger,2,1,3,94,97,3.09
February 28 2021,Stevens,WA,Passenger,38,42,80,30232,30312,0.26
February 28 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
February 28 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2021,Thurston,WA,Truck,0,0,0,56459,56459,0.00
February 28 2021,Travis,TX,Passenger,2,3,5,161,166,3.01
February 28 2021,Whitman,WA,Passenger,53,46,99,21854,21953,0.45
December 31 2020,Mason,WA,Passenger,173,134,307,47651,47958,0.64
December 31 2020,Multnomah,OR,Passenger,3,6,9,686,695,1.29
December 31 2020,Nassau,NY,Passenger,4,0,4,28,32,12.50
December 31 2020,Newport,RI,Passenger,1,0,1,84,85,1.18
December 31 2020,Okanogan,WA,Passenger,55,36,91,26072,26163,0.35
December 31 2020,Penobscot,ME,Passenger,0,1,1,9,10,10.00
February 28 2021,Washtenaw,MI,Passenger,1,0,1,30,31,3.23
March 31 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
March 31 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
February 28 2021,Williams,ND,Passenger,0,1,1,10,11,9.09
March 31 2021,Anchorage,AK,Passenger,1,0,1,143,144,0.69
March 31 2021,Bexar,TX,Passenger,4,5,9,546,555,1.62
January 31 2021,Philadelphia,PA,Passenger,1,0,1,59,60,1.67
January 31 2021,Pima,AZ,Passenger,2,1,3,314,317,0.95
January 31 2021,Pinellas,FL,Passenger,1,1,2,97,99,2.02
January 31 2021,Polk,FL,Passenger,1,0,1,55,56,1.79
January 31 2021,San Mateo,CA,Passenger,1,1,2,107,109,1.83
January 31 2021,Sarasota,FL,Passenger,2,0,2,26,28,7.14
January 31 2021,Stevens,WA,Passenger,37,40,77,30276,30353,0.25
January 31 2021,Stevens,WA,Truck,0,0,0,18753,18753,0.00
January 31 2021,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
February 28 2021,Clark,WA,Truck,0,0,0,83537,83537,0.00
February 28 2021,Cumberland,NC,Passenger,0,2,2,451,453,0.44
February 28 2021,Douglas,NE,Passenger,1,1,2,49,51,3.92
February 28 2021,Fort Bend,TX,Passenger,1,0,1,41,42,2.38
February 28 2021,Garfield,WA,Truck,0,0,0,1005,1005,0.00
February 28 2021,Goochland,VA,Passenger,4,3,7,230,237,2.95
February 28 2021,Grays Harbor,WA,Passenger,142,130,272,48801,49073,0.55
March 31 2021,Asotin,WA,Passenger,17,14,31,12571,12602,0.25
March 31 2021,Boone,MO,Passenger,0,1,1,10,11,9.09
March 31 2021,Broward,FL,Passenger,1,0,1,109,110,0.91
March 31 2021,Calvert,MD,Passenger,0,2,2,85,87,2.30
March 31 2021,Camden,NJ,Passenger,0,1,1,14,15,6.67
March 31 2021,Dakota,MN,Passenger,0,1,1,25,26,3.85
January 31 2021,Rogers,OK,Passenger,1,0,1,5,6,16.67
January 31 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
January 31 2021,Snohomish,WA,Passenger,5178,1876,7054,538401,545455,1.29
January 31 2021,Tulsa,OK,Passenger,1,1,2,37,39,5.13
January 31 2021,Wahkiakum,WA,Passenger,7,6,13,3041,3054,0.43
January 31 2021,Lincoln,WA,Passenger,6,12,18,7632,7650,0.24
January 31 2021,Montgomery,PA,Passenger,1,0,1,26,27,3.70
January 31 2021,Nassau,NY,Passenger,4,0,4,27,31,12.90
January 31 2021,Okanogan,WA,Passenger,56,36,92,26141,26233,0.35
January 31 2021,Okanogan,WA,Truck,0,0,0,16593,16593,0.00
December 31 2020,Pierce,WA,Passenger,2828,1772,4600,555678,560278,0.82
December 31 2020,Pinellas,FL,Passenger,1,1,2,98,100,2.00
December 31 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
December 31 2020,San Francisco,CA,Passenger,1,1,2,88,90,2.22
December 31 2020,Skagit,WA,Passenger,497,238,735,91429,92164,0.80
December 31 2020,Skamania,WA,Truck,0,0,0,4004,4004,0.00
December 31 2020,St. Mary's,MD,Passenger,1,0,1,213,214,0.47
December 31 2020,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
December 31 2020,Vigo,IN,Passenger,1,0,1,6,7,14.29
March 31 2021,Chesapeake,VA,Passenger,0,3,3,404,407,0.74
March 31 2021,DeKalb,GA,Passenger,1,0,1,63,64,1.56
March 31 2021,El Paso,CO,Passenger,3,0,3,701,704,0.43
March 31 2021,Ferry,WA,Passenger,10,3,13,4349,4362,0.30
March 31 2021,Garfield,WA,Truck,0,0,0,1011,1011,0.00
January 31 2021,Vigo,IN,Passenger,1,0,1,6,7,14.29
January 31 2021,Wahkiakum,WA,Truck,0,0,0,1769,1769,0.00
January 31 2021,Washoe,NV,Passenger,1,0,1,99,100,1.00
February 28 2021,Alameda,CA,Passenger,3,0,3,252,255,1.18
February 28 2021,Arlington,VA,Passenger,0,1,1,139,140,0.71
February 28 2021,Asotin,WA,Truck,0,0,0,6693,6693,0.00
March 31 2021,Douglas,CO,Passenger,0,1,1,77,78,1.28
March 31 2021,El Dorado,CA,Passenger,1,0,1,30,31,3.23
March 31 2021,Juneau,AK,Passenger,0,1,1,26,27,3.70
March 31 2021,Kent,MI,Passenger,0,1,1,26,27,3.70
March 31 2021,Kitsap,WA,Truck,0,0,0,54395,54395,0.00
March 31 2021,Collin,TX,Passenger,1,1,2,114,116,1.72
March 31 2021,Columbia,WA,Passenger,5,4,9,2466,2475,0.36
March 31 2021,Columbia,WA,Truck,0,0,0,1549,1549,0.00
March 31 2021,District of Columbia,DC,Passenger,3,1,4,197,201,1.99
March 31 2021,Douglas,NE,Passenger,1,1,2,48,50,4.00
March 31 2021,Fresno,CA,Passenger,1,0,1,169,170,0.59
March 31 2021,Grays Harbor,WA,Truck,0,0,0,21266,21266,0.00
January 31 2021,Williams,ND,Passenger,0,1,1,10,11,9.09
February 28 2021,Anne Arundel,MD,Passenger,3,1,4,395,399,1.00
February 28 2021,Chelan,WA,Truck,0,0,0,22879,22879,0.00
February 28 2021,Clackamas,OR,Passenger,3,0,3,178,181,1.66
February 28 2021,Columbia,WA,Passenger,5,4,9,2453,2462,0.37
February 28 2021,Cowlitz,WA,Passenger,194,130,324,71933,72257,0.45
January 31 2021,Pennington,SD,Passenger,1,0,1,34,35,2.86
January 31 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
January 31 2021,Queens,NY,Passenger,1,0,1,49,50,2.00
January 31 2021,Sacramento,CA,Passenger,2,0,2,235,237,0.84
January 31 2021,Santa Clara,CA,Passenger,7,2,9,266,275,3.27
January 31 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
January 31 2021,Travis,TX,Passenger,2,3,5,163,168,2.98
January 31 2021,Ventura,CA,Passenger,1,1,2,276,278,0.72
January 31 2021,Virginia Beach,VA,Passenger,3,0,3,639,642,0.47
January 31 2021,Walla Walla,WA,Truck,0,0,0,13898,13898,0.00
December 31 2020,Wahkiakum,WA,Truck,0,0,0,1770,1770,0.00
December 31 2020,Walla Walla,WA,Truck,0,0,0,13872,13872,0.00
December 31 2020,Washington,OR,Passenger,1,0,1,409,410,0.24
December 31 2020,Washoe,NV,Passenger,1,0,1,101,102,0.98
January 31 2021,,,Passenger,4,1,5,383,388,1.29
February 28 2021,Greene,MO,Passenger,0,1,1,31,32,3.12
February 28 2021,Harris,TX,Passenger,1,1,2,201,203,0.99
February 28 2021,Hennepin,MN,Passenger,2,0,2,77,79,2.53
February 28 2021,Kittitas,WA,Passenger,142,53,195,29828,30023,0.65
February 28 2021,Lewis,WA,Truck,0,0,0,26705,26705,0.00
February 28 2021,Lincoln,WA,Passenger,6,13,19,7648,7667,0.25
February 28 2021,Los Angeles,CA,Passenger,10,10,20,923,943,2.12
February 28 2021,Maricopa,AZ,Passenger,5,6,11,1259,1270,0.87
March 31 2021,Lane,OR,Passenger,0,1,1,125,126,0.79
March 31 2021,Lewis,WA,Passenger,130,134,264,59293,59557,0.44
March 31 2021,Morris,NJ,Passenger,1,0,1,16,17,5.88
March 31 2021,New Haven,CT,Passenger,0,2,2,33,35,5.71
March 31 2021,Norfolk,VA,Passenger,2,3,5,333,338,1.48
March 31 2021,Nueces,TX,Passenger,1,0,1,79,80,1.25
February 28 2021,Charles,MD,Passenger,1,1,2,74,76,2.63
February 28 2021,Chelan,WA,Passenger,301,88,389,54490,54879,0.71
February 28 2021,Chesapeake,VA,Passenger,0,3,3,406,409,0.73
February 28 2021,Franklin,WA,Truck,0,0,0,20512,20512,0.00
February 28 2021,Hamilton,IN,Passenger,2,0,2,35,37,5.41
February 28 2021,Hampshire,MA,Passenger,1,0,1,6,7,14.29
March 31 2021,Jefferson,WA,Passenger,302,174,476,24832,25308,1.88
March 31 2021,Klickitat,WA,Truck,0,0,0,8173,8173,0.00
March 31 2021,Lee,FL,Passenger,1,0,1,38,39,2.56
March 31 2021,Lewis,WA,Truck,0,0,0,26813,26813,0.00
March 31 2021,Los Angeles,CA,Passenger,10,10,20,914,934,2.14
March 31 2021,Middlesex,MA,Passenger,1,1,2,98,100,2.00
March 31 2021,Monroe,IL,Passenger,1,0,1,3,4,25.00
March 31 2021,Montgomery,OH,Passenger,0,1,1,55,56,1.79
March 31 2021,Moore,NC,Passenger,0,1,1,135,136,0.74
January 31 2021,Whitman,WA,Passenger,51,46,97,21847,21944,0.44
January 31 2021,Whitman,WA,Truck,0,0,0,8512,8512,0.00
January 31 2021,Williamson,TX,Passenger,0,2,2,118,120,1.67
January 31 2021,Wilson,TX,Passenger,0,1,1,5,6,16.67
February 28 2021,Alexandria,VA,Passenger,2,0,2,135,137,1.46
March 31 2021,Houston,GA,Passenger,1,0,1,49,50,2.00
March 31 2021,King,WA,Passenger,28528,8568,37096,1365251,1402347,2.65
March 31 2021,King,WA,Truck,6,1,7,184562,184569,0.00
March 31 2021,Kings,NY,Passenger,1,0,1,66,67,1.49
March 31 2021,Kittitas,WA,Passenger,146,55,201,29893,30094,0.67
March 31 2021,Kittitas,WA,Truck,0,0,0,14756,14756,0.00
March 31 2021,Lincoln,WA,Passenger,5,13,18,7691,7709,0.23
February 28 2021,Denver,CO,Passenger,1,0,1,115,116,0.86
February 28 2021,El Paso,TX,Passenger,3,0,3,388,391,0.77
February 28 2021,Fairbanks North Star,AK,Passenger,0,1,1,89,90,1.11
February 28 2021,Ferry,WA,Truck,0,0,0,3621,3621,0.00
February 28 2021,Flathead,MT,Passenger,1,0,1,47,48,2.08
February 28 2021,Franklin,WA,Passenger,92,87,179,61612,61791,0.29
February 28 2021,Harnett,NC,Passenger,1,0,1,183,184,0.54
February 28 2021,Hawaii,HI,Passenger,1,0,1,49,50,2.00
February 28 2021,Honolulu,HI,Passenger,5,2,7,411,418,1.67
March 31 2021,Rockingham,NH,Passenger,1,0,1,25,26,3.85
March 31 2021,Rogers,OK,Passenger,1,0,1,5,6,16.67
March 31 2021,Santa Cruz,CA,Passenger,1,0,1,30,31,3.23
March 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
March 31 2021,Snohomish,WA,Passenger,5385,1931,7316,538917,546233,1.34
March 31 2021,Spokane,WA,Passenger,952,584,1536,322718,324254,0.47
March 31 2021,St. Clair,IL,Passenger,1,0,1,140,141,0.71
March 31 2021,St. Louis,MO,Passenger,1,0,1,91,92,1.09
January 31 2021,Carroll,MD,Passenger,0,1,1,20,21,4.76
January 31 2021,Clallam,WA,Truck,1,0,1,21869,21870,0.00
January 31 2021,Contra Costa,CA,Passenger,3,3,6,285,291,2.06
January 31 2021,Deschutes,OR,Passenger,1,0,1,118,119,0.84
January 31 2021,Douglas,WA,Passenger,84,46,130,28203,28333,0.46
June 30 2017,Howard,MD,Passenger,0,2,2,94,96,2.08
August 31 2017,Canyon,ID,Passenger,0,1,1,97,98,1.02
July 31 2017,Pima,AZ,Passenger,1,2,3,426,429,0.70
July 31 2017,Saratoga,NY,Passenger,1,1,2,74,76,2.63
July 31 2017,Snohomish,WA,Truck,1,0,1,121777,121778,0.00
July 31 2017,Douglas,WA,Passenger,35,26,61,26755,26816,0.23
July 31 2017,Franklin,WA,Truck,0,0,0,18175,18175,0.00
July 31 2017,Frederick,MD,Passenger,0,1,1,82,83,1.20
July 31 2017,Garfield,WA,Passenger,0,0,0,1296,1296,0.00
July 31 2017,Grant,WA,Passenger,19,30,49,61007,61056,0.08
July 31 2017,Grays Harbor,WA,Truck,0,0,0,19895,19895,0.00
July 31 2017,Jackson,MO,Passenger,1,0,1,58,59,1.69
July 31 2017,Kittitas,WA,Truck,0,0,0,13577,13577,0.00
August 31 2017,Benton,WA,Truck,0,0,0,40165,40165,0.00
August 31 2017,Chelan,WA,Truck,0,0,0,21363,21363,0.00
August 31 2017,Clark,WA,Truck,0,0,0,77899,77899,0.00
August 31 2017,Douglas,WA,Truck,0,0,0,11570,11570,0.00
June 30 2017,Marion,OR,Passenger,1,0,1,165,166,0.60
June 30 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
June 30 2017,Norfolk,MA,Passenger,1,0,1,39,40,2.50
June 30 2017,Northampton,PA,Passenger,1,0,1,147,148,0.68
June 30 2017,Orleans,LA,Passenger,0,1,1,46,47,2.13
July 31 2017,DeKalb,GA,Passenger,1,0,1,84,85,1.18
July 31 2017,Ferry,WA,Passenger,1,1,2,4400,4402,0.05
July 31 2017,Ferry,WA,Truck,0,0,0,3526,3526,0.00
July 31 2017,Franklin,OH,Passenger,0,1,1,120,121,0.83
July 31 2017,Franklin,WA,Passenger,26,47,73,55737,55810,0.13
July 31 2017,Hamilton,TN,Passenger,1,0,1,18,19,5.26
July 31 2017,Latah,ID,Passenger,0,1,1,97,98,1.02
July 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
July 31 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
July 31 2017,Maui,HI,Passenger,1,0,1,68,69,1.45
July 31 2017,Shelby,TN,Passenger,0,1,1,109,110,0.91
July 31 2017,Skamania,WA,Truck,0,0,0,3873,3873,0.00
July 31 2017,Virginia Beach,VA,Passenger,2,1,3,661,664,0.45
July 31 2017,Walla Walla,WA,Truck,0,0,0,13177,13177,0.00
August 31 2017,Dallas,TX,Passenger,0,1,1,182,183,0.55
August 31 2017,Douglas,WA,Passenger,35,27,62,26834,26896,0.23
August 31 2017,Frederick,MD,Passenger,0,1,1,83,84,1.19
July 31 2017,Tulare,CA,Passenger,1,0,1,196,197,0.51
July 31 2017,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
July 31 2017,Wahkiakum,WA,Truck,0,0,0,1659,1659,0.00
July 31 2017,Whatcom,WA,Passenger,474,179,653,143192,143845,0.45
August 31 2017,,,Passenger,3,0,3,460,463,0.65
July 31 2017,Montgomery,TN,Passenger,1,0,1,282,283,0.35
July 31 2017,Okaloosa,FL,Passenger,1,0,1,183,184,0.54
July 31 2017,Okanogan,WA,Truck,0,0,0,16226,16226,0.00
July 31 2017,Pacific,WA,Truck,0,0,0,7495,7495,0.00
July 31 2017,Portsmouth,VA,Passenger,0,1,1,66,67,1.49
July 31 2017,Prince George's,MD,Passenger,0,1,1,186,187,0.53
June 30 2017,Pinal,AZ,Passenger,2,0,2,245,247,0.81
June 30 2017,Polk,FL,Passenger,1,0,1,64,65,1.54
June 30 2017,Prince William,VA,Passenger,0,3,3,269,272,1.10
June 30 2017,Stevens,WA,Passenger,8,23,31,31383,31414,0.10
June 30 2017,Travis,TX,Passenger,0,1,1,191,192,0.52
August 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
August 31 2017,Garfield,WA,Truck,0,0,0,932,932,0.00
August 31 2017,Gwinnett,GA,Passenger,0,1,1,84,85,1.18
August 31 2017,Honolulu,HI,Passenger,3,2,5,567,572,0.87
July 31 2017,Howard,MD,Passenger,0,2,2,93,95,2.11
July 31 2017,Kitsap,WA,Passenger,622,324,946,173384,174330,0.54
July 31 2017,Kittitas,WA,Passenger,24,19,43,27676,27719,0.16
July 31 2017,Marion,OR,Passenger,1,0,1,162,163,0.61
July 31 2017,Montgomery,MD,Passenger,1,0,1,305,306,0.33
July 31 2017,New London,CT,Passenger,1,1,2,254,256,0.78
July 31 2017,Orange,FL,Passenger,1,1,2,131,133,1.50
July 31 2017,Pend Oreille,WA,Truck,0,0,0,5582,5582,0.00
July 31 2017,Ramsey,MN,Passenger,1,0,1,40,41,2.44
August 31 2017,Grant,WA,Truck,0,0,0,25354,25354,0.00
August 31 2017,Hardin,KY,Passenger,0,1,1,123,124,0.81
August 31 2017,Juneau,AK,Passenger,0,1,1,43,44,2.27
August 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
August 31 2017,Lumpkin,GA,Passenger,1,0,1,9,10,10.00
August 31 2017,Madison,ID,Passenger,1,0,1,37,38,2.63
July 31 2017,Yakima,WA,Truck,0,0,0,57470,57470,0.00
August 31 2017,Allegheny,PA,Passenger,1,0,1,87,88,1.14
August 31 2017,Arlington,VA,Passenger,1,2,3,166,169,1.78
August 31 2017,Charles,MD,Passenger,0,1,1,85,86,1.16
August 31 2017,Chelan,WA,Passenger,72,36,108,52309,52417,0.21
August 31 2017,Clallam,WA,Passenger,96,79,175,48547,48722,0.36
July 31 2017,San Diego,CA,Passenger,6,1,7,2708,2715,0.26
July 31 2017,San Juan,WA,Truck,0,0,0,5549,5549,0.00
July 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
July 31 2017,Santa Rosa,FL,Passenger,1,0,1,112,113,0.88
July 31 2017,Volusia,FL,Passenger,0,1,1,45,46,2.17
July 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
August 31 2017,Cape May,NJ,Passenger,0,1,1,18,19,5.26
August 31 2017,Clark,NV,Passenger,1,2,3,797,800,0.38
August 31 2017,Deschutes,OR,Passenger,1,0,1,193,194,0.52
August 31 2017,Duval,FL,Passenger,1,1,2,380,382,0.52
July 31 2017,Skagit,WA,Passenger,141,104,245,88186,88431,0.28
July 31 2017,Tarrant,TX,Passenger,1,0,1,243,244,0.41
July 31 2017,Thurston,WA,Passenger,418,350,768,187072,187840,0.41
July 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
July 31 2017,Norfolk,MA,Passenger,1,0,1,37,38,2.63
July 31 2017,Orange,CA,Passenger,3,1,4,630,634,0.63
July 31 2017,Orleans,LA,Passenger,0,1,1,47,48,2.08
July 31 2017,Riverside,CA,Passenger,1,1,2,788,790,0.25
July 31 2017,San Juan,WA,Passenger,112,39,151,13563,13714,1.10
July 31 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
July 31 2017,Santa Clara,CA,Passenger,5,2,7,399,406,1.72
August 31 2017,Maui,HI,Passenger,1,0,1,69,70,1.43
August 31 2017,Montgomery,MD,Passenger,1,0,1,306,307,0.33
August 31 2017,Multnomah,OR,Passenger,1,3,4,936,940,0.43
August 31 2017,Nassau,NY,Passenger,1,1,2,39,41,4.88
August 31 2017,New Haven,CT,Passenger,0,1,1,57,58,1.72
August 31 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
August 31 2017,Pend Oreille,WA,Truck,0,0,0,5552,5552,0.00
August 31 2017,Okanogan,WA,Passenger,4,18,22,25675,25697,0.09
August 31 2017,Richland,SC,Passenger,0,1,1,189,190,0.53
August 31 2017,Saratoga,NY,Passenger,1,1,2,72,74,2.70
August 31 2017,Stevens,WA,Truck,0,0,0,18218,18218,0.00
August 31 2017,Bexar,TX,Passenger,1,1,2,852,854,0.23
June 30 2017,Wahkiakum,WA,Passenger,0,2,2,2832,2834,0.07
June 30 2017,Walla Walla,WA,Passenger,25,26,51,34843,34894,0.15
June 30 2017,Whitman,WA,Passenger,10,20,30,22039,22069,0.14
July 31 2017,Adams,WA,Truck,0,0,0,5123,5123,0.00
July 31 2017,Asotin,WA,Passenger,8,4,12,12439,12451,0.10
August 31 2017,Ferry,WA,Truck,0,0,0,3532,3532,0.00
August 31 2017,Franklin,OH,Passenger,0,1,1,116,117,0.85
August 31 2017,Jefferson,WA,Passenger,112,64,176,23955,24131,0.73
August 31 2017,Jefferson,WA,Truck,0,0,0,9429,9429,0.00
August 31 2017,Clallam,WA,Truck,0,0,0,21058,21058,0.00
August 31 2017,Clark,WA,Passenger,794,528,1322,300782,302104,0.44
August 31 2017,Fairfax,VA,Passenger,2,2,4,847,851,0.47
July 31 2017,Sedgwick,KS,Passenger,0,1,1,109,110,0.91
July 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
July 31 2017,Thurston,WA,Truck,0,0,0,53300,53300,0.00
July 31 2017,Travis,TX,Passenger,0,1,1,190,191,0.52
July 31 2017,Tuolumne,CA,Passenger,0,1,1,14,15,6.67
July 31 2017,Whitman,WA,Passenger,12,19,31,22107,22138,0.14
August 31 2017,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
August 31 2017,Wahkiakum,WA,Truck,0,0,0,1655,1655,0.00
August 31 2017,Walla Walla,WA,Truck,0,0,0,13188,13188,0.00
August 31 2017,Whitman,WA,Truck,0,0,0,8451,8451,0.00
September 30 2017,Benton,WA,Truck,0,0,0,40274,40274,0.00
August 31 2017,Lane,OR,Passenger,0,1,1,223,224,0.45
August 31 2017,Missoula,MT,Passenger,1,0,1,70,71,1.41
July 31 2017,Yakima,WA,Passenger,49,62,111,159659,159770,0.07
August 31 2017,Adams,WA,Passenger,3,3,6,12183,12189,0.05
August 31 2017,Albemarle,VA,Passenger,0,1,1,33,34,2.94
August 31 2017,Asotin,WA,Truck,0,0,0,6515,6515,0.00
August 31 2017,Benton,WA,Passenger,161,147,308,129042,129350,0.24
August 31 2017,Bergen,NJ,Passenger,0,2,2,30,32,6.25
August 31 2017,Columbia,WA,Truck,0,0,0,1541,1541,0.00
August 31 2017,Ramsey,MN,Passenger,1,0,1,39,40,2.50
August 31 2017,San Diego,CA,Passenger,6,1,7,2671,2678,0.26
August 31 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
